Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
MAR,Marriott International,131.28,45552602625.36,,,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/mar,
MBII,"Marrone Bio Innovations, Inc.",1.88,207907224.12,,2013.0,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/mbii,
MRTN,"Marten Transport, Ltd.",21.95,1199766674.3,,1986.0,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/mrtn,
MMLP,Martin Midstream Partners L.P.,11.45,447148113.65,,2002.0,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/mmlp,
MRVL,Marvell Technology Group Ltd.,18.45,12147480000.0,,2000.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/mrvl,
MASI,Masimo Corporation,120.96,6310489973.76,,2007.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/masi,
MTCH,"Match Group, Inc.",59.23,16400424216.25,,2015.0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/mtch,
MTLS,Materialise NV,13.72,184539076.4,13450370.0,2014.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mtls,
MPAC,Matlin & Partners Acquisition Corporation,9.99,93121705.08,,2017.0,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/mpac,
MPACU,Matlin & Partners Acquisition Corporation,10.75,0.0,,2017.0,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/mpacu,
MPACW,Matlin & Partners Acquisition Corporation,0.75,0.0,,2017.0,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/mpacw,
MTRX,Matrix Service Company,24.5,661730790.0,,1990.0,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/mtrx,
MAT,"Mattel, Inc.",16.62,5719823375.22,,,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/mat,
MATW,Matthews International Corporation,51.35,1648202619.7,,1994.0,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/matw,
MXIM,"Maxim Integrated Products, Inc.",58.12,16158468232.16,,1988.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/mxim,
MXWL,"Maxwell Technologies, Inc.",3.59,136976277.68,,,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/mxwl,
MZOR,Mazor Robotics Ltd.,50.26,882799761.34,17564659.0,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mzor,
MBFI,MB Financial Inc.,48.09,4049213827.05,,,Finance,Major Banks,https://www.nasdaq.com/symbol/mbfi,
MBFIO,MB Financial Inc.,25.2,0.0,,,Finance,Major Banks,https://www.nasdaq.com/symbol/mbfio,
MCFT,"MCBC Holdings, Inc.",36.27,679201450.2,,2015.0,Capital Goods,Marine Transportation,https://www.nasdaq.com/symbol/mcft,
MGRC,McGrath RentCorp,54.32,1312890010.32,,1984.0,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/mgrc,
MDCA,MDC Partners Inc.,4.35,217217663.25,,,Technology,Advertising,https://www.nasdaq.com/symbol/mdca,
MFIN,Medallion Financial Corp.,6.87,167894714.01,,,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/mfin,
MFINL,Medallion Financial Corp.,25.75,0.0,,,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/mfinl,
MTBC,"Medical Transcription Billing, Corp.",4.5,53308908.0,,2014.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mtbc,
MTBCP,"Medical Transcription Billing, Corp.",27.6157,25663242.3943,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mtbcp,
MNOV,"MediciNova, Inc.",11.08,464020128.84,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mnov,
MDSO,"Medidata Solutions, Inc.",75.85,4632440448.4,,2009.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mdso,
MDGS,Medigus Ltd.,3.1,1104120.8,356168.0,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mdgs,
MDGSW,Medigus Ltd.,0.5,0.0,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mdgsw,
MDWD,MediWound Ltd.,6.4,173944569.6,,2014.0,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/mdwd,
MEDP,"Medpace Holdings, Inc.",57.68,2051764350.72,,2016.0,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/medp,
MEIP,"MEI Pharma, Inc.",4.55,323443138.2,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/meip,
MGTX,MeiraGTx Holdings plc,11.76,319685392.32,,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/mgtx,
MLCO,Melco Resorts & Entertainment Limited,21.67,5238431125.18,241736554.0,,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/mlco,
MLNT,"Melinta Therapeutics, Inc.",4.475,250645886.65,,2012.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mlnt,
MLNX,"Mellanox Technologies, Ltd.",78.0,4131680124.0,,2007.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/mlnx,
MELR,"Melrose Bancorp, Inc.",19.8,51452755.2,,2014.0,Finance,Major Banks,https://www.nasdaq.com/symbol/melr,
MNLO,Menlo Therapeutics Inc.,11.04,253677097.92,,2018.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mnlo,
MTSL,MER Telemanagement Solutions Ltd.,1.48,4875598.04,,1997.0,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/mtsl,
