Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
MJCO,Majesco,6.92,253432011.16,,2015.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mjco,
MHH,"Mastech Digital, Inc",9.69,106150074.0,,,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/mhh,
MTNB,"Matinas Biopharma Holdings, Inc.",0.4046,38265607.7986,,2017.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mtnb,
MNI,McClatchy Company (The),8.5,66091988.0,,1988.0,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/mni,
IPB,"Merrill Lynch & Co., Inc. 6.0518% Index Plus Trust Certificate",27.2246,0.0,,,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/ipb,
MXC,Mexco Energy Corporation,4.8499,9894601.0834,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mxc,
CCA,MFS California Insured Municipal Trust,10.15,28280691.25,,1999.0,,,https://www.nasdaq.com/symbol/cca,
MICR,"Micron Solutions, Inc.",3.4,9690601.8,,,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/micr,
MLSS,"Milestone Scientific, Inc.",0.775,26087251.75,,2015.0,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/mlss,
MYO,Myomo Inc.,2.19,27187330.14,,2017.0,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/myo,
NNVC,"NanoViricides, Inc.",0.4042,27883737.0,,,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/nnvc,
ATEST,NASDAQ TEST STOCK,19.0,0.0,,,,,https://www.nasdaq.com/symbol/atest,
ATEST.A,NASDAQ TEST STOCK,,0.0,,,,,https://www.nasdaq.com/symbol/atest.a,
ATEST.B,NASDAQ TEST STOCK,,0.0,,,,,https://www.nasdaq.com/symbol/atest.b,
ATEST.C,NASDAQ TEST STOCK,,0.0,,,,,https://www.nasdaq.com/symbol/atest.c,
NHC,National HealthCare Corporation,73.14,1113604333.56,,,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/nhc,
NAVB,"Navidea Biopharmaceuticals, Inc.",0.2301,37648982.709,,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/navb,
NTIP,"Network-1 Technologies, Inc.",2.65,63165177.4,,,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/ntip,
NBW,Neuberger Berman California Municipal Fund Inc,12.65,70220706.6,,2002.0,,,https://www.nasdaq.com/symbol/nbw,
NHS,Neuberger Berman High Yield Strategies Fund,10.86,212210753.1,,,,,https://www.nasdaq.com/symbol/nhs,
NML,Neuberger Berman MLP Income Fund Inc.,8.7,492932673.6,,2013.0,,,https://www.nasdaq.com/symbol/nml,
NBH,Neuberger Berman Municipal Fund Inc.,13.52,254194698.16,,2002.0,,,https://www.nasdaq.com/symbol/nbh,
NBO,Neuberger Berman New York Municipal Fund Inc.,11.59,64336599.96,,2002.0,,,https://www.nasdaq.com/symbol/nbo,
NRO,"Neuberger Berman Real Estate Securities Income Fund, Inc.",5.1,241840322.1,,2003.0,,,https://www.nasdaq.com/symbol/nro,
UWN,"Nevada Gold & Casinos, Inc.",2.4,40435636.8,,,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/uwn,
NSU,Nevsun Resources Ltd,4.46,1349563317.12,,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nsu,
GBR,"New Concept Energy, Inc",2.0248,4316741.988,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gbr,
NEN,New England Realty Associates Limited Partnership,66.75,249082631.25,,,Consumer Services,Building operators,https://www.nasdaq.com/symbol/nen,
NGD,New Gold Inc.,1.1,636623171.8,,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ngd,
NXE,Nexgen Energy Ltd.,2.11,731891623.48,,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nxe,
HLTH,Nobilis Health Corp.,1.03,80597983.07,,2015.0,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/hlth,
NAK,"Northern Dynasty Minerals, Ltd.",0.53,165687978.31,,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nak,
NOG,"Northern Oil and Gas, Inc.",3.54,1050291973.92,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/nog,
NBY,"NovaBay Pharmaceuticals, Inc.",1.4,23925025.6,,2007.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nby,
NG,Novagold Resources Inc.,3.74,1206273502.28,,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ng,
NTN,"NTN Buzztime, Inc.",4.23,12124558.98,,,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/ntn,
NES,"Nuverra Environmental Solutions, Inc.",9.12,106663689.6,,2017.0,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/nes,
OCX,OncoCyte Corporation,2.4,97594790.4,,2015.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/ocx,
OGEN,Oragenics Inc.,0.5,5918817.5,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ogen,
TIS,Orchids Paper Products Company,3.75,40013805.0,,2005.0,Basic Industries,Paper,https://www.nasdaq.com/symbol/tis,
ORM,"Owens Realty Mortgage, Inc.",16.44,141295947.36,,2013.0,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/orm,
PCG^A,Pacific Gas & Electric Co.,25.32,0.0,,,,,https://www.nasdaq.com/symbol/pcg^a,
PCG^B,Pacific Gas & Electric Co.,23.71,0.0,,,,,https://www.nasdaq.com/symbol/pcg^b,
PCG^C,Pacific Gas & Electric Co.,22.19,0.0,,,,,https://www.nasdaq.com/symbol/pcg^c,
PCG^D,Pacific Gas & Electric Co.,21.98,0.0,,,,,https://www.nasdaq.com/symbol/pcg^d,
PCG^E,Pacific Gas & Electric Co.,21.89,0.0,,,,,https://www.nasdaq.com/symbol/pcg^e,
PCG^G,Pacific Gas & Electric Co.,21.12,0.0,,,,,https://www.nasdaq.com/symbol/pcg^g,
PCG^H,Pacific Gas & Electric Co.,20.55,0.0,,,,,https://www.nasdaq.com/symbol/pcg^h,
PCG^I,Pacific Gas & Electric Co.,20.799,0.0,,,,,https://www.nasdaq.com/symbol/pcg^i,
PTN,"Palatin Technologies, Inc.",1.03,208110268.12,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ptn,
PZG,Paramount Gold Nevada Corp.,1.01,25729703.54,,2015.0,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/pzg,
TEUM,Pareteum Corporation,2.83,170544935.24,,,Technology,EDP Services,https://www.nasdaq.com/symbol/teum,
PRK,Park National Corporation,107.26,1682539567.52,,,Finance,Major Banks,https://www.nasdaq.com/symbol/prk,
PED,Pedevco Corp.,2.12,31433492.28,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ped,
PFNX,Pfenex Inc.,5.03,158071039.62,,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/pfnx,
HNW,Pioneer Diversified High Income Trust,14.54,121158766.6,,2007.0,,,https://www.nasdaq.com/symbol/hnw,
PLG,Platinum Group Metals Ltd.,0.1826,53142828.486,,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/plg,
PLYM,"Plymouth Industrial REIT, Inc.",15.73,73325505.11,,2017.0,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/plym,
PLYM^A,"Plymouth Industrial REIT, Inc.",25.1099,0.0,,,,,https://www.nasdaq.com/symbol/plym^a,
PLM,Polymet Mining Corp.,0.8740000000000001,280172777.806,,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/plm,
PW,Power REIT,6.05,11055394.9,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/pw,
PW^A,Power REIT,25.5,0.0,,,,,https://www.nasdaq.com/symbol/pw^a,
PLX,"Protalix BioTherapeutics, Inc.",0.615,91132908.465,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/plx,
RLGT,"Radiant Logistics, Inc.",5.62,277893308.96,,,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/rlgt,
RLGT^A,"Radiant Logistics, Inc.",25.95,0.0,,,,,https://www.nasdaq.com/symbol/rlgt^a,
RFL,"Rafael Holdings, Inc.",9.06,113613632.16,,2018.0,Finance,Real Estate,https://www.nasdaq.com/symbol/rfl,
UTG,Reaves Utility Income Fund,30.81,1499522730.81,,2004.0,,,https://www.nasdaq.com/symbol/utg,
REED,"Reeds, Inc.",3.35,85589136.6,,,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/reed,
RHE,"Regional Health Properties, Inc.",0.1763,3559010.412,,2017.0,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/rhe,
RHE^A,"Regional Health Properties, Inc.",1.7601,0.0,,,,,https://www.nasdaq.com/symbol/rhe^a,
RCG,"RENN Fund, Inc.",1.97,8794014.99,,,,,https://www.nasdaq.com/symbol/rcg,
RVP,"Retractable Technologies, Inc.",0.711,23225848.794,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/rvp,
